Sun Jun 10 2012 22:07:40 | Connecting to irc.tddirc.net on port 6667Sun Jun 10 2012 22:07:41 | Connected.Sun Jun 10 2012 22:07:41 | Joining channel #guidj0sSun Jun 10 2012 22:08:07 | Loading dispatcher public.Sun Jun 10 2012 22:08:07 | Command "auth" not found on dispatcher publicSun Jun 10 2012 22:08:17 | Loading dispatcher query.Sun Jun 10 2012 22:09:21 | Connecting to irc.tddirc.net on port 6667Sun Jun 10 2012 22:09:21 | Connected.Sun Jun 10 2012 22:09:21 | Joining channel #guidj0sSun Jun 10 2012 22:09:39 | Loading dispatcher query.Sun Jun 10 2012 22:10:49 | Connecting to irc.tddirc.net on port 6667
Sun Jun 10 2012 22:10:49 | Connected.
Sun Jun 10 2012 22:10:49 | Joining channel #guidj0s
Sun Jun 10 2012 22:11:03 | Loading dispatcher query.
Sun Jun 10 2012 22:13:01 | PONG: ir.uk.tddirc.net
Sun Jun 10 2012 22:14:33 | PONG: ir.uk.tddirc.net
Sun Jun 10 2012 22:16:06 | PONG: ir.uk.tddirc.net
Sun Jun 10 2012 22:17:41 | PONG: ir.uk.tddirc.net
Sun Jun 10 2012 22:19:13 | PONG: ir.uk.tddirc.net
Sun Jun 10 2012 22:20:49 | PONG: ir.uk.tddirc.net
Sun Jun 10 2012 22:22:20 | PONG: ir.uk.tddirc.net
Sun Jun 10 2012 22:23:52 | PONG: ir.uk.tddirc.net
Sun Jun 10 2012 22:30:28 | Connecting to irc.tddirc.net on port 6667
Sun Jun 10 2012 22:30:42 | Connected.
Sun Jun 10 2012 22:30:42 | Joining channel #guidj0s
Sun Jun 10 2012 22:30:56 | Loading dispatcher query.
Sun Jun 10 2012 22:32:36 | PONG: ir.uk.tddirc.net
Sun Jun 10 2012 22:34:11 | PONG: ir.uk.tddirc.net
Sun Jun 10 2012 22:35:22 | Loading dispatcher public.
Sun Jun 10 2012 22:37:10 | PONG: ir.uk.tddirc.net
Sun Jun 10 2012 22:38:43 | PONG: ir.uk.tddirc.net
Sun Jun 10 2012 22:40:18 | PONG: ir.uk.tddirc.net
Sun Jun 10 2012 22:41:52 | PONG: ir.uk.tddirc.net
Sun Jun 10 2012 22:43:25 | PONG: ir.uk.tddirc.net
Sun Jun 10 2012 22:44:58 | PONG: ir.uk.tddirc.net
Sun Jun 10 2012 22:46:30 | PONG: ir.uk.tddirc.net
Sun Jun 10 2012 22:48:05 | PONG: ir.uk.tddirc.net
Sun Jun 10 2012 22:49:42 | PONG: ir.uk.tddirc.net
Sun Jun 10 2012 22:51:14 | PONG: ir.uk.tddirc.net
Sun Jun 10 2012 22:52:46 | PONG: ir.uk.tddirc.net
Sun Jun 10 2012 22:54:23 | PONG: ir.uk.tddirc.net
Sun Jun 10 2012 22:55:59 | PONG: ir.uk.tddirc.net
Sun Jun 10 2012 22:57:26 | Unloading dispatcher public.
Sun Jun 10 2012 22:57:34 | Loading dispatcher public.
Sun Jun 10 2012 22:59:14 | PONG: ir.uk.tddirc.net
Sun Jun 10 2012 23:00:48 | PONG: ir.uk.tddirc.net
Sun Jun 10 2012 23:02:20 | PONG: ir.uk.tddirc.net
Sun Jun 10 2012 23:03:48 | Loading dispatcher query.
Sun Jun 10 2012 23:04:30 | Loading dispatcher query.
Sun Jun 10 2012 23:06:14 | PONG: ir.uk.tddirc.net
Sun Jun 10 2012 23:07:50 | PONG: ir.uk.tddirc.net
Sun Jun 10 2012 23:08:37 | Loading dispatcher query.
Sun Jun 10 2012 23:09:02 | Loading dispatcher query.
Sun Jun 10 2012 23:10:36 | PONG: ir.uk.tddirc.net
Sun Jun 10 2012 23:11:31 | Loading dispatcher query.
